player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8475167,Victor Hedman,Victor,Hedman,1990-12-18,Ornskoldsvik,SWE,N/A,SWE,"6' 7""",244,L,D
8475170,Brayden Schenn,Brayden,Schenn,1991-08-22,Saskatoon,CAN,SK,CAN,"6' 1""",199,L,C
8475172,Nazem Kadri,Nazem,Kadri,1990-10-06,London,CAN,ON,CAN,"6' 0""",185,L,C
8475181,Nick Leddy,Nick,Leddy,1991-03-20,Eden Prairie,USA,MN,USA,"6' 0""",205,L,D
8475182,David Rundblad,David,Rundblad,1990-10-08,Lycksele,SWE,N/A,SWE,"6' 2""",187,R,D
8475188,Brayden McNabb,Brayden,McNabb,1991-01-21,Davidson,CAN,SK,CAN,"6' 4""",215,L,D
8475191,Reilly Smith,Reilly,Smith,1991-04-01,Mimico,CAN,ON,CAN,"6' 1""",185,L,R
8475200,Dmitry Orlov,Dmitry,Orlov,1991-07-23,Novokuznetsk,RUS,N/A,RUS,"5' 11""",214,L,D
8475204,Brandon Pirri,Brandon,Pirri,1991-04-10,Toronto,CAN,ON,CAN,"6' 1""",180,L,C
8475208,Brian Dumoulin,Brian,Dumoulin,1991-09-06,Biddeford,USA,ME,USA,"6' 4""",207,L,D
8475214,Jeremy Morin,Jeremy,Morin,1991-04-16,Auburn,USA,NY,USA,"6' 1""",195,R,L
8475223,Linden Vey,Linden,Vey,1991-07-17,Wakaw,CAN,SK,CAN,"6' 0""",189,R,R
8475233,David Savard,David,Savard,1990-10-22,St-Hyacinthe,CAN,QC,CAN,"6' 1""",235,R,D
8475278,Byron Froese,Byron,Froese,1991-03-12,Winkler,CAN,MB,CAN,"6' 1""",202,R,C
8475311,Darcy Kuemper,Darcy,Kuemper,1990-05-05,Saskatoon,CAN,SK,CAN,"6' 5""",215,L,G
8475323,Marcus Kruger,Marcus,Kruger,1990-05-27,Stockholm,SWE,N/A,SWE,"6' 0""",186,L,C
8475325,Jordan Nolan,Jordan,Nolan,1989-06-23,"Garden River, First Nations",CAN,ON,CAN,"6' 3""",219,L,C
8475598,Ryan Stanton,Ryan,Stanton,1989-07-20,St. Albert,CAN,AB,CAN,"6' 2""",205,L,D
8475622,Carter Hutton,Carter,Hutton,1985-12-19,Thunder Bay,CAN,ON,CAN,"6' 0""",211,L,G
8475650,Brandon Bollig,Brandon,Bollig,1987-01-31,St. Charles,USA,MO,USA,"6' 2""",220,L,L
8475681,Ben Scrivens,Ben,Scrivens,1986-09-11,Spruce Grove,CAN,AB,CAN,"6' 2""",181,L,G
8475726,Tyler Toffoli,Tyler,Toffoli,1992-04-24,Scarborough,CAN,ON,CAN,"6' 0""",203,R,R
8475744,Evgeny Kuznetsov,Evgeny,Kuznetsov,1992-05-19,Chelyabinsk,RUS,N/A,RUS,"6' 2""",207,L,C
8475758,Devante Smith-Pelly,Devante,Smith-Pelly,1992-06-14,Scarborough,CAN,ON,CAN,"6' 0""",223,R,R
8475761,Beau Bennett,Beau,Bennett,1991-11-27,Gardena,USA,CA,USA,"6' 2""",195,R,R
8475765,Vladimir Tarasenko,Vladimir,Tarasenko,1991-12-13,Yaroslavl,RUS,N/A,RUS,"6' 1""",228,L,R
8475768,Jaden Schwartz,Jaden,Schwartz,1992-06-25,Wilcox,CAN,SK,CAN,"5' 10""",185,L,C
8475792,Brett Connolly,Brett,Connolly,1992-05-02,Campbell River,CAN,BC,CAN,"6' 3""",198,R,R
8475794,Tyler Seguin,Tyler,Seguin,1992-01-31,Brampton,CAN,ON,CAN,"6' 1""",205,R,C
8475807,Joakim Nordstrom,Joakim,Nordstrom,1992-02-25,Stockholm,SWE,N/A,SWE,"6' 1""",194,L,C
8475810,Bryan Rust,Bryan,Rust,1992-05-11,Pontiac,USA,MI,USA,"5' 11""",192,R,R
8475831,Philipp Grubauer,Philipp,Grubauer,1991-11-25,Rosenheim,DEU,N/A,DEU,"6' 1""",188,L,G
8475832,Tom Kuhnhackl,Tom,Kuhnhackl,1992-01-21,Landshut,DEU,N/A,DEU,"6' 2""",190,L,R
